area_id,area_name,district,population,elderly_ratio,single_ratio,older_single_ratio,medical_count,pharmacy_count,nearest_care_distance_km,nearest_bus_stop_distance_km,care_demand,vulnerable_index,medical_score,pharmacy_score,transit_score,care_score,overall_score
D001,태평1동,수정구,13530,27.0,37.7,9.5,91,43,1.585,0.146,96,96,66,80,69,65,69.3
D002,수진2동,수정구,14263,28.4,25.9,7.7,62,24,0.719,0.127,82,80,60,65,73,80,69.2
D003,복정동,수정구,13540,11.2,33.5,2.8,5,3,0.222,0.161,18,33,48,48,66,88,62.5
D004,은행2동,중원구,20383,26.1,24.3,8.3,35,15,1.254,0.063,78,72,54,58,86,71,67.0
D005,금광1동,중원구,19592,15.2,11.9,2.7,76,28,0.792,0.245,11,13,62,68,48,79,64.0
D006,상대원1동,중원구,22293,24.3,25.7,6.9,58,20,0.666,0.143,66,66,59,62,69,81,67.6
D007,서현1동,분당구,30588,15.0,14.5,2.6,221,58,1.476,0.053,12,16,92,92,88,67,84.8
D008,야탑3동,분당구,26547,21.0,20.0,5.6,140,48,2.643,0.062,47,46,76,84,86,48,73.1
D009,정자동,분당구,13712,17.4,19.0,2.7,166,45,0.945,0.199,22,30,81,82,58,76,74.2
D010,구미동,분당구,27854,22.2,17.1,4.9,102,28,2.091,0.065,44,45,68,68,85,57,69.5
