구별,의료기관명,의료기관종별,의료기관주소(도로명),의료기관전화번호,데이터기준일자
수정구,최공주산부인과의원,의원,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 8층 814호 (창곡동)",031-8039-7710,2026-03-04
수정구,정감한의원,한의원,"경기도 성남시 수정구 위례광장로 9-9, 남위례역 푸르지오 시티 211호,212호 (창곡동)",031-778-7510,2026-03-04
수정구,위례참신통한의원,한의원,"경기도 성남시 수정구 위례동로 147, 위례건아타워 9층 902호 (창곡동)",031-778-7275,2026-03-04
수정구,뷰라인치과의원,치과의원,"경기도 성남시 수정구 성남대로 1228, 해광빌딩 5층 (수진동)",031-721-2080,2026-03-04
수정구,위례포커스정신건강의학과의원,의원,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 3층 314-2호, 315-1호 (창곡동)",031-778-6751,2026-03-04
수정구,성남태평한의원,한의원,"경기도 성남시 수정구 수정로 106, 수진동 SR프라자 4층 403호 (수진동)",031-8039-5068,2026-03-04
수정구,연세현세치과의원,치과의원,"경기도 성남시 수정구 위례서일로 46, 위례엘포트한라비발디 3층 307호 (창곡동)",031-755-2275,2026-03-04
수정구,더신중한치과의원,치과의원,"경기도 성남시 수정구 수정로 185, 4층 (태평동)",031-623-2882,2026-03-04
수정구,청혈약뜸한의원,한의원,"경기도 성남시 수정구 위례광장로 9-10, 아롬타워 8층 802호 (창곡동)",031-778-8693,2026-03-04
수정구,밀스킨의원,의원,"경기도 성남시 수정구 위례광장로 322, 아이플렉스 2층 203호 (창곡동)",031-697-8627,2026-03-04
수정구,서울아산본튼튼의원,의원,"경기도 성남시 수정구 산성대로 259-1, 1층 일부, 2층 (신흥동)",031-732-7575,2026-03-04
수정구,위례여유외과의원,의원,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 6층 611,612호 (창곡동)",031-778-8055,2026-03-04
수정구,바른뇌신경과의원,의원,"경기도 성남시 수정구 수정로 106, 수진동 SR프라자 3층 301,302호 (수진동)",031-607-0100,2026-03-04
수정구,도토리소아치과의원,치과의원,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 B동 406호 (창곡동)",031-756-2879,2026-03-04
수정구,위례센텀내과의원,의원,"경기도 성남시 수정구 위례동로 147, 위례건아타워 3층 302.,303호 (창곡동)",031-723-7575,2026-03-04
수정구,서울속튼튼내과의원,의원,"경기도 성남시 수정구 수정로 128, 3호 (수진동)",031-756-1110,2026-03-04
수정구,위례밴스의원,의원,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 1동 B01~B03호 (창곡동)",031-778-6403,2026-03-04
수정구,365경희동방한의원,한의원,"경기도 성남시 수정구 제일로 159, 3층 (수진동)",031-723-7588,2026-03-04
수정구,맑은소리이비인후과의원,의원,"경기도 성남시 수정구 산성대로 267, 202호일부, 203호일부, 204호, 211-213호 (신흥동)",031-731-0119,2026-03-04
수정구,서울365추나관한의원,한의원,"경기도 성남시 수정구 산성대로 91, 성호빌딩 2층 (수진동)",031-606-7788,2026-03-04
수정구,뷰티온의원,의원,"경기도 성남시 수정구 산성대로 267, 301,326-334호 (신흥동)",031-8039-7579,2026-03-04
수정구,타토아의원,의원,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 1동 5층 B-506,507,508호 (창곡동)",031-755-7588,2026-03-04
수정구,닥터스팟여성의원,의원,"경기도 성남시 수정구 위례동로 147, 위례건아타워 2층 202호 (창곡동)",031-606-8879,2026-03-04
수정구,한분한본재활의학과의원,의원,"경기도 성남시 수정구 수정로 185, 3층 (태평동)",031-754-1111,2026-03-04
수정구,루미에버의원,의원,"경기도 성남시 수정구 수정로 285, 2층 (신흥동)",031-607-5353,2026-03-04
수정구,삼성앤유외과의원,의원,"경기도 성남시 수정구 위례서일로 46, 위례엘포트한라비발디 2층 202,203호 (창곡동)",031-755-6875,2026-03-04
수정구,고등연세이비인후과의원,의원,"경기도 성남시 수정구 청계산로 695, 303-304호 (고등동)",,2026-03-04
수정구,바른모양치과의원,치과의원,"경기도 성남시 수정구 수정로 108, 2,3층 (수진동)",031-8039-6543,2026-03-04
수정구,수승화강한의원,한의원,"경기도 성남시 수정구 위례서일로 26, 창곡동 559-6번지 210호 (창곡동)",031-752-3826,2026-03-04
수정구,한국한의원,한의원,"경기도 성남시 수정구 성남대로 1306, 1층 (태평동)",031-758-7501,2026-03-04
수정구,분당서울마취통증의학과의원,의원,"경기도 성남시 수정구 수정로 286, 정인빌딩 4층 (신흥동)",031-742-7588,2026-03-04
수정구,위례메이퓨어의원,의원,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 1동 5층 515호 (창곡동)",031-758-2508,2026-03-04
수정구,금토제일한의원,한의원,"경기도 성남시 수정구 금토로80번길 51, 206호 (금토동)",031-707-1191,2026-03-04
수정구,연세정석정형외과의원,의원,"경기도 성남시 수정구 수정로 115-1, 주민신협행복빌딩 2층 (태평동)",031-721-8275,2026-03-04
수정구,연세온가족소아청소년과의원,의원,"경기도 성남시 수정구 수정로 286, 정인빌딩 3층 (신흥동)",031-778-7515,2026-03-04
수정구,위례퍼스트정형외과의원,의원,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 5층 504,505호 (창곡동)",031-8039-7560,2026-03-04
수정구,맑은빛피부과의원,의원,"경기도 성남시 수정구 수정로 284, 도일빌딩 2층 (신흥동)",031-8039-7540,2026-03-04
수정구,고등탑내과의원,의원,"경기도 성남시 수정구 고등로 3, 현대지식산업센터 성남고등 C동 105호 (고등동)",031-778-6418,2026-03-04
수정구,언제나봄산부인과의원,의원,"경기도 성남시 수정구 희망로 551, 2층 202,204,205호 (신흥동)",031-778-6700,2026-03-04
수정구,연세꿈꾸는아이치과의원,치과의원,"경기도 성남시 수정구 희망로 551, 502,504,505호 (신흥동)",031-733-2275,2026-03-04
수정구,산성베스트내과의원,의원,"경기도 성남시 수정구 희망로 551, 4층 (신흥동)",031-8039-6006,2026-03-04
수정구,마음공원정신건강의학과의원,의원,"경기도 성남시 수정구 위례동로 153, 에이플타워 5층 506호 (창곡동)",031-609-7071,2026-03-04
수정구,강지훈한의원,한의원,"경기도 성남시 수정구 창업로 43, 판교글로벌비즈센터 B동 104호 (시흥동)",031-697-8375,2026-03-04
수정구,연세온탑치과의원,치과의원,"경기도 성남시 수정구 산성대로 265, 2층 (신흥동)",031-609-2828,2026-03-04
수정구,성남삼성치과의원,치과의원,"경기도 성남시 수정구 수정로 128, 10층 (수진동)",,2026-03-04
수정구,연세웰드림내과의원,의원,"경기도 성남시 수정구 위례서일로 46, 위례엘포트한라비발디 2층 208,209,210호 (창곡동)",031-8039-6775,2026-03-04
수정구,뷰티룩스의원,의원,"경기도 성남시 수정구 위례서일로 46, 위례엘포트한라비발디 301호 (창곡동)",031-722-3221,2026-03-04
수정구,성남근본마취통증의학과의원,의원,"경기도 성남시 수정구 수정로 128, 4,5층 (수진동)",031-758-7580,2026-03-04
수정구,산성예스치과의원,치과의원,"경기도 성남시 수정구 희망로 551, C1블럭동 3층 302호, 305호 (신흥동)",031-747-2833,2026-03-04
수정구,구름별소아청소년과의원,의원,"경기도 성남시 수정구 희망로 551, C1블럭동 3층 303호, 304호 (신흥동)",031-743-7890,2026-03-04
수정구,근본한의원,한의원,"경기도 성남시 수정구 산성대로 249, 6층 (신흥동)",031-778-8840,2026-03-04
수정구,비오한의원,한의원,"경기도 성남시 수정구 위례서일로 46, 위례엘포트한라비발디 308호 (창곡동)",031-607-7771,2026-03-04
