구별,약국명칭,약국전화번호,약국소재지(도로명),데이터기준일자
수정구,바른수약국,031-755-9306,"경기도 성남시 수정구 수정로 144, 1층 (수진동)",2026-03-04
수정구,행복약국,031-722-4330,"경기도 성남시 수정구 수정로 181, 성남빌딩 1층 일부호 (태평동)",2026-03-04
수정구,판교풀잎약국,070-7622-8973,"경기도 성남시 수정구 창업로 17, F동 3층 314호 (시흥동)",2026-03-04
수정구,13약국,031-722-2213,"경기도 성남시 수정구 심곡로 13, 2층 (심곡동)",2026-03-04
수정구,성남 메가팩토리약국,031-757-7795,"경기도 성남시 수정구 고등로5길 10, 1층 일부, 5층 (고등동)",2026-03-04
수정구,더조은약국,031-602-6950,"경기도 성남시 수정구 청계산로 695, 1층 107호 (고등동)",2026-03-04
수정구,샛별약국,070-7576-2455,"경기도 성남시 수정구 수정로 201, 1층 일부호 (태평동, 신세계쉐덴)",2026-03-04
수정구,경희착한맘한약국,02-449-1613,"경기도 성남시 수정구 위례광장로 300, 중앙타워 2층 228호 (창곡동)",2026-03-04
수정구,제2판교약국,031-717-1206,"경기도 성남시 수정구 금토로80번길 22, 트라이타워 114호 (금토동)",2026-03-04
수정구,포레이든약국,031-8039-5388,"경기도 성남시 수정구 수정로 291, 산성역포레스티아아파트 서문상가동 지1층 B107호 (신흥동)",2026-03-04
수정구,신동아약국,031-747-0221,"경기도 성남시 수정구 공원로 322, 2층 225(일부)호 (신흥동, 신동아파라디움)",2026-03-04
수정구,큰나무약국,031-732-0992,"경기도 성남시 수정구 수정로 286, 정인빌딩 지하1층,1층일부층 (신흥동)",2026-03-04
수정구,코리아약국,031-738-1148,"경기도 성남시 수정구 고등로 3, 현대지식산업센터 성남고등 지1층 C-B116호 (고등동)",2026-03-04
수정구,산성메디칼약국,070-8287-2387,"경기도 성남시 수정구 희망로 551, 산성역자이푸르지오 C1블럭 106호 (신흥동)",2026-03-04
수정구,한사랑약국,031-741-0059,"경기도 성남시 수정구 희망로 551, 산성역자이푸르지오 C1블록 101, 102호 (신흥동)",2026-03-04
수정구,더편한365모란약국,031-721-3650,"경기도 성남시 수정구 성남대로 1169, 남영빌딩 2층 (수진동)",2026-03-04
수정구,곰이약국,031-733-7701,"경기도 성남시 수정구 희망로 551, 산성역자이푸르지오 C1블럭 301호 일부호 (신흥동)",2026-03-04
수정구,위례일번약국,031-756-8863,"경기도 성남시 수정구 위례서일로 46, 위례엘포트한라비발디 107,109호 (창곡동)",2026-03-04
수정구,오아시스약국,031-756-3206,"경기도 성남시 수정구 성남대로1221번길 6, 1층 일부호 (수진동)",2026-03-04
수정구,신흥역비너스약국,,"경기도 성남시 수정구 시민로 153, 1층 일부호 (신흥동)",2026-03-04
수정구,성남햇살약국,,"경기도 성남시 수정구 수정로171번길 7-1, 우일프라자 2층 일부호 (태평동)",2026-03-04
수정구,봄봄약국,031-753-5450,"경기도 성남시 수정구 위례광장로 5, 남위례역아이파크 111호 (창곡동)",2026-03-04
수정구,365수정메디약국,031-758-3650,"경기도 성남시 수정구 수정로 128, 1층 일부호 (수진동)",2026-03-04
수정구,참사랑약국,031-607-1300,"경기도 성남시 수정구 수정로 106, 수진동 SR프라자 115호 (수진동)",2026-03-04
수정구,다나온누리약국,031-749-9993,"경기도 성남시 수정구 산성대로 531, 1층 (양지동)",2026-03-04
수정구,365열린큰약국,0507-1362-3665,"경기도 성남시 수정구 위례광장로 104, 위례 한화 오벨리스크 센트럴스퀘어 1층 1049,1050,1051호 (창곡동)",2026-03-04
수정구,백두산약국,031-757-3083,"경기도 성남시 수정구 수정로 88, 1층 일부호 (수진동)",2026-03-04
수정구,포레스티아 튼튼약국,070-8691-1460,"경기도 성남시 수정구 수정로 291, 산성역포레스티아아파트 서문상가 405-1호 (신흥동)",2026-03-04
수정구,올리브약국,031-756-9661,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 3층 314-1호 (창곡동)",2026-03-04
수정구,연세일등약국,031-753-6797,"경기도 성남시 수정구 수정로 106, 수진동 SR프라자 111호 (수진동)",2026-03-04
수정구,이층약국,031-722-3817,"경기도 성남시 수정구 산성대로 223, 일문파이낸스빌딩 2층 (신흥동)",2026-03-04
수정구,소담약국,031-778-6673,"경기도 성남시 수정구 산성대로 259, 1층 일부호 (신흥동)",2026-03-04
수정구,판교파미어스약국,0507-1372-7566,"경기도 성남시 수정구 창업로 18, 파미어스몰 3층 305호 (시흥동)",2026-03-04
수정구,신흥제일약국,031-733-0615,"경기도 성남시 수정구 산성대로 305, 110호 (신흥동, 삼부르네상스파크Ⅱ)",2026-03-04
수정구,전주약국,031-734-6524,경기도 성남시 수정구 수정로 358 (산성동),2026-03-04
수정구,별약국,031-757-8426,"경기도 성남시 수정구 청계산로 689, 1층 103호 (고등동)",2026-03-04
수정구,산성약국,031-747-5816,"경기도 성남시 수정구 수정로 341, 2층 207호 (신흥동)",2026-03-04
수정구,이레온누리약국,031-747-5862,"경기도 성남시 수정구 수정로 291, 1층 104호 (신흥동)",2026-03-04
수정구,스마일약국,031-735-0304,"경기도 성남시 수정구 수정로 291, 3층 304호 (신흥동)",2026-03-04
수정구,금주약국,070-4230-0121,"경기도 성남시 수정구 제일로 157, 1층 (수진동)",2026-03-04
수정구,대학온누리약국,031-743-0625,"경기도 성남시 수정구 시민로205번길 28, 1층 (태평동)",2026-03-04
수정구,시민약국,031-759-6700,"경기도 성남시 수정구 수정로171번길 11, 1층 (태평동)",2026-03-04
수정구,다온약국,031-754-6754,"경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 1층 121호 (창곡동)",2026-03-04
수정구,기운찬약국,031-757-7280,"경기도 성남시 수정구 시민로205번길 28-1, 1층 (태평동)",2026-03-04
수정구,광장약국,031-759-5901,"경기도 성남시 수정구 수정로171번길 15, 삼경빌딩 1층 (태평동)",2026-03-04
수정구,에이스약국,070-4680-6000,"경기도 성남시 수정구 수정로 106, SR프라자 3층 304.305호 (수진동)",2026-03-04
